step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,0_stopped,0_accumulated_waiting_time,0_average_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,10_stopped,10_accumulated_waiting_time,10_average_speed,11_stopped,11_accumulated_waiting_time,11_average_speed,12_stopped,12_accumulated_waiting_time,12_average_speed,13_stopped,13_accumulated_waiting_time,13_average_speed,14_stopped,14_accumulated_waiting_time,14_average_speed,15_stopped,15_accumulated_waiting_time,15_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,3_stopped,3_accumulated_waiting_time,3_average_speed,4_stopped,4_accumulated_waiting_time,4_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,7_stopped,7_accumulated_waiting_time,7_average_speed,8_stopped,8_accumulated_waiting_time,8_average_speed,9_stopped,9_accumulated_waiting_time,9_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,0.0,13.264329817911332,0,0.0,0.9693946694531955,0,0.0,0.9740306796484826,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9695963701322746,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9715943448793293,0,0.0,0.9719643199737444,0,0.0,0.974364087536767,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9717732751501873,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,12.873471797303198,0,0.0,0.9521175745730847,0,0.0,0.9570961925363082,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9487790720860402,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9547458948134628,0,0.0,0.9555213116721457,0,0.0,0.8720138055635803,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9431545854068804,0,0.0,1.0,0,0.0
15.0,2,2.0,0.05,11.021338771592173,0,0.0,0.81419878386189,0,0.0,0.8632766776564635,0,0.0,1.0,0,0.0,1.0,1,1.0,0.7281799744837796,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,1.0,0.7327463914171307,0,0.0,0.689832530545867,0,0.0,0.9699501320920391,0,0.0,0.7766186066935802,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9554536041604118,0,0.0,0.7452087210689752,2,2.0
20.0,9,26.0,0.4642857142857143,9.984435640751602,3,8.0,0.6542055832989783,1,2.0,0.7274836160105816,0,0.0,1.0,0,0.0,1.0,0,0.0,0.963276282529627,0,2.0,0.6833546077893218,0,0.0,1.0,0,0.0,1.0,2,8.0,0.4506575026554121,3,8.0,0.48708690865305343,0,0.0,0.949002114832628,0,0.0,0.9250085365468396,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9601123392369165,0,0.0,0.9440220672735485,9,28.0
25.0,0,0.0,0.0,9.701757008151104,0,5.0,0.6850158104362382,0,0.0,0.7921689014497029,0,0.0,1.0,0,0.0,1.0,0,0.0,0.962718786107944,0,2.0,0.9377682587496586,0,0.0,1.0,0,0.0,1.0,0,5.0,0.6586770635787105,0,5.0,0.6420877202697027,0,2.0,0.6934444272764382,0,1.0,0.7072465397805276,0,4.0,0.4626941017288936,0,4.0,0.43079728186415167,0,0.0,0.6014264667873596,0,0.0,0.7820044305926932,0,28.0
30.0,10,35.0,0.4375,9.592601787766322,1,5.0,0.6691550463489709,1,3.0,0.6175819047845381,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9522947205086139,0,2.0,0.9529458859553157,0,0.0,1.0,0,0.0,1.0,0,0.0,0.868835787567709,0,0.0,0.8743436974268513,2,10.0,0.6523045166799989,2,8.0,0.6336479617983936,0,4.0,0.8718858333238736,0,4.0,0.8647510889017166,3,13.0,0.41388462364403455,1,3.0,0.25636772064830293,10,52.0
35.0,14,73.0,0.7604166666666666,9.39227798323397,0,3.0,0.6795338727272373,4,18.0,0.4750762527711335,0,4.0,0.44029476270009843,0,0.0,1.0,1,2.0,0.7289109656286321,0,0.0,0.9427057164008161,0,0.0,0.949162983829004,0,0.0,1.0,1,1.0,0.752614873964754,0,0.0,0.7256548956873544,0,7.0,0.8144995140215511,4,28.0,0.5566213230921421,0,4.0,0.9305700716701285,0,4.0,0.9595632250505155,4,33.0,0.42936715194396524,0,2.0,0.25992786523439365,14,106.0
40.0,21,135.0,1.2053571428571428,8.986976302730897,2,6.0,0.681929687413796,0,14.0,0.757190753771068,0,4.0,0.9246783475489255,0,0.0,0.9338594545991603,1,7.0,0.5324996566577564,0,0.0,1.0,0,0.0,0.9384891357494943,0,0.0,1.0,2,11.0,0.5332455502277661,3,8.0,0.5588726788614143,1,5.0,0.4896638217991225,4,45.0,0.6388413437542899,0,0.0,0.9088004015748066,0,0.0,0.9239227865852048,7,61.0,0.28816594351052544,1,4.0,0.7711233006520776,21,165.0
45.0,17,170.0,1.4166666666666667,8.103573272039766,0,3.0,0.6133271847382322,1,7.0,0.7100224280168744,0,4.0,0.9097338685628861,0,0.0,0.9399149687063935,0,2.0,0.5761600912534046,0,6.0,0.3980581786571542,1,1.0,0.7386318747406457,0,0.0,1.0,0,6.0,0.7275776974458609,0,4.0,0.5611366393094008,2,13.0,0.41904359007268926,4,65.0,0.4940088191935789,1,3.0,0.20969154400436366,0,4.0,0.30978332777884565,8,102.0,0.26771936759697335,0,0.0,0.9431980103067674,17,220.0
50.0,30,278.0,2.0441176470588234,8.135344727303247,3,9.0,0.6755166716659502,0,6.0,0.3968713693193568,2,6.0,0.45238055258773957,0,0.0,0.9137393640668222,0,0.0,0.9231628434980972,0,6.0,0.8872974161710467,3,10.0,0.3987628456927109,0,0.0,0.9447563360409644,0,4.0,0.9164174513139551,0,0.0,0.9419672265471148,2,17.0,0.6423169794754066,7,95.0,0.10233719795482236,1,10.0,0.7502562686860923,2,12.0,0.6591211084617643,10,147.0,0.39150588157684796,0,0.0,0.9090356843733464,30,322.0
